event,game,timestamp,userId,id,date,channel
end-game,Resident Evil 6 / Biohazard 6,"Wed, 10 Apr 2024 04:20:51 GMT",301206456185913346,1cSfWCf3FnEV79afO6Fo,"miércoles, 10/4/2024",
end-game,Resident Evil 6 / Biohazard 6,"Wed, 10 Apr 2024 04:20:51 GMT",301206456185913346,Jaz63FMIDX78Kzpl466W,"miércoles, 10/4/2024",
disconnected,,"Wed, 10 Apr 2024 04:50:29 GMT",523684629379547162,AOCuijxu9CAwpmRiWMqq,"miércoles, 10/4/2024",524796249543671822
disconnected,,"Wed, 10 Apr 2024 04:50:29 GMT",301206456185913346,rc3RnDUV0rsNmA4c3h0Q,"miércoles, 10/4/2024",524796249543671822
offline,,"Wed, 10 Apr 2024 04:50:31 GMT",301206456185913346,Cq9ovJG6fWtus6C15g5j,"miércoles, 10/4/2024",
offline,,"Wed, 10 Apr 2024 04:50:31 GMT",301206456185913346,YI6V2gkffju5AJSXCcKg,"miércoles, 10/4/2024",
offline,,"Wed, 10 Apr 2024 04:51:52 GMT",523684629379547162,Yl6W3py2LCdphKhrX7uM,"miércoles, 10/4/2024",
online,,"Wed, 10 Apr 2024 20:56:22 GMT",523684629379547162,JbaPgGpZ0woQjIpQvg40,"miércoles, 10/4/2024",
offline,,"Wed, 10 Apr 2024 22:20:47 GMT",523684629379547162,JhFW0n92ggg4fV0XfgaF,"miércoles, 10/4/2024",
online,,"Thu, 11 Apr 2024 01:41:19 GMT",301206456185913346,00WxJt19v9gnRTaPW240,"miércoles, 10/4/2024",
online,,"Thu, 11 Apr 2024 01:41:19 GMT",301206456185913346,6XlhNr1jwjXAjwKKewYN,"miércoles, 10/4/2024",
started-game,THE FINALS,"Thu, 11 Apr 2024 01:42:19 GMT",301206456185913346,dIa9dPmFNDHtOKWQ5Mpj,"miércoles, 10/4/2024",
started-game,THE FINALS,"Thu, 11 Apr 2024 01:42:19 GMT",301206456185913346,f48p7N9sUp6GkviejKs4,"miércoles, 10/4/2024",
online,,"Thu, 11 Apr 2024 02:00:34 GMT",523684629379547162,EAGuZgROdUey7PUYuNOK,"miércoles, 10/4/2024",
offline,,"Thu, 11 Apr 2024 02:00:48 GMT",523684629379547162,UNs37mYdnlYpkxXN0YKB,"miércoles, 10/4/2024",
online,,"Thu, 11 Apr 2024 02:27:03 GMT",523684629379547162,NGwOj4xO25lsgtb0TkzM,"miércoles, 10/4/2024",
connected,,"Thu, 11 Apr 2024 02:34:46 GMT",301206456185913346,eIuzZd7LsxxJuqQ8iE7H,"miércoles, 10/4/2024",524796249543671822
self-muted,,"Thu, 11 Apr 2024 02:34:47 GMT",301206456185913346,OS95OFh5knNsZRHc4HOh,"miércoles, 10/4/2024",524796249543671822
connected,,"Thu, 11 Apr 2024 02:49:28 GMT",523684629379547162,tuzVeMLLdZ8SK6BRMp0z,"miércoles, 10/4/2024",524796249543671822
self-unmuted,,"Thu, 11 Apr 2024 02:49:36 GMT",301206456185913346,e3n9K1rrL8oUrTWXnENB,"miércoles, 10/4/2024",524796249543671822
end-game,THE FINALS,"Thu, 11 Apr 2024 02:58:42 GMT",301206456185913346,McgDHFW3vSH4CKis8gjA,"miércoles, 10/4/2024",
end-game,THE FINALS,"Thu, 11 Apr 2024 02:58:42 GMT",301206456185913346,vYMASJO0BcTw3jzHqpzl,"miércoles, 10/4/2024",
end-game,Rocket League,"Thu, 25 Apr 2024 04:50:39 GMT",301206456185913346,VglIK1xpxY825zhpWvNC,"jueves, 25/4/2024",
end-game,Rocket League,"Thu, 25 Apr 2024 04:50:39 GMT",301206456185913346,sylyTpK8bM7lGfiNP8Hu,"jueves, 25/4/2024",
disconnected,,"Thu, 25 Apr 2024 04:51:26 GMT",301206456185913346,WCSaYjru61iIUTWf72eO,"jueves, 25/4/2024",524796249543671822
disconnected,,"Thu, 25 Apr 2024 04:51:27 GMT",339950447810969612,732f1kDvG1yzN3U4owq6,"jueves, 25/4/2024",524796249543671822
disconnected,,"Thu, 25 Apr 2024 04:51:27 GMT",523684629379547162,zBS2SwoKZ7X9edJQBoMs,"jueves, 25/4/2024",524796249543671822
offline,,"Thu, 25 Apr 2024 04:51:29 GMT",301206456185913346,17oDLaP2JMZ0xxGEbI68,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 04:51:29 GMT",301206456185913346,N0Z5jGPFGgDzfrVALOJk,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 04:53:12 GMT",339950447810969612,3KcubC5urCVPNWTl6xg5,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 04:53:21 GMT",523684629379547162,ePuIK82trVrx85m8Dipp,"jueves, 25/4/2024",
online,,"Thu, 25 Apr 2024 14:14:36 GMT",301206456185913346,LTbhPnY3LNnqxq8jS03e,"jueves, 25/4/2024",
online,,"Thu, 25 Apr 2024 14:14:36 GMT",301206456185913346,mSvDEO07XqWcc7NXIWfv,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 14:15:08 GMT",301206456185913346,Sh56uDLrEWlyznMcGfE0,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 14:15:08 GMT",301206456185913346,vaXAySrzF33Berye8i3Z,"jueves, 25/4/2024",
online,,"Thu, 25 Apr 2024 14:15:56 GMT",523684629379547162,5Ib0VLmUZEeq1C7oUJ55,"jueves, 25/4/2024",
offline,,"Thu, 25 Apr 2024 14:32:25 GMT",523684629379547162,U93ik558QT5cjKi9DVf5,"jueves, 25/4/2024",
