event,username,day,month,year,hour,minute,second
connected,Altoemilius,9,3,2024,4,12,28
disconnected,Altoemilius,9,3,2024,4,12,36
connected,fabimontans,9,3,2024,5,33,1
disconnected,fabimontans,9,3,2024,7,21,47
disconnected,Altoemilius,9,3,2024,7,26,59
connected,Altoemilius,9,3,2024,7,27,19
disconnected,Altoemilius,9,3,2024,7,51,11
disconnected,DiegoPlusUltra,9,3,2024,7,51,12
connected,DiegoPlusUltra,10,3,2024,3,47,35
connected,Altoemilius,10,3,2024,3,49,58
disconnected,DiegoPlusUltra,10,3,2024,6,29,50
disconnected,Altoemilius,10,3,2024,6,29,50
connected,fabimontans,11,3,2024,2,28,20
disconnected,fabimontans,11,3,2024,2,36,43
connected,Altoemilius,11,3,2024,2,57,45
connected,DiegoPlusUltra,11,3,2024,3,13,46
disconnected,Altoemilius,11,3,2024,4,57,7
disconnected,DiegoPlusUltra,11,3,2024,4,57,8
connected,Saborcito,12,3,2024,2,34,35
connected,fabimontans,12,3,2024,2,42,30
connected,Altoemilius,12,3,2024,2,42,34
disconnected,Altoemilius,12,3,2024,2,58,57
connected,Altoemilius,12,3,2024,2,59,7
connected,DiegoPlusUltra,12,3,2024,3,24,16
disconnected,fabimontans,12,3,2024,4,4,36
disconnected,Saborcito,12,3,2024,4,29,38
disconnected,Altoemilius,12,3,2024,4,29,39
disconnected,DiegoPlusUltra,12,3,2024,4,29,40
connected,Saborcito,13,3,2024,2,40,21
connected,Altoemilius,13,3,2024,2,41,34
connected,fabimontans,13,3,2024,2,58,53
connected,DiegoPlusUltra,13,3,2024,3,9,5
disconnected,fabimontans,13,3,2024,4,24,58
disconnected,Altoemilius,13,3,2024,4,25,1
disconnected,DiegoPlusUltra,13,3,2024,4,25,3
disconnected,Saborcito,13,3,2024,4,25,3
connected,Altoemilius,14,3,2024,2,30,59
connected,Saborcito,14,3,2024,2,44,0
connected,fabimontans,14,3,2024,3,4,35
connected,DiegoPlusUltra,14,3,2024,3,12,19
disconnected,fabimontans,14,3,2024,4,0,1
disconnected,Altoemilius,14,3,2024,4,36,2
disconnected,Saborcito,14,3,2024,4,36,3
