daysAway,consecutiveJoinedDays,freeDay,actualDay,actualMonth,actualYear,joinedToday
0,0,1,9,3,2024,1
0,1,1,10,3,2024,1
0,2,0,11,3,2024,1
0,3,0,12,3,2024,1
0,4,0,13,3,2024,1
0,5,0,14,3,2024,1
0,6,0,15,3,2024,1
0,7,1,16,3,2024,1
0,8,1,17,3,2024,1
0,9,0,18,3,2024,0
1,0,0,19,3,2024,1
0,1,0,20,3,2024,1
0,2,0,21,3,2024,1
0,3,0,22,3,2024,1
0,4,1,23,3,2024,1
0,5,1,24,3,2024,0
1,0,0,25,3,2024,1
0,1,0,26,3,2024,1
0,2,0,27,3,2024,1
0,3,0,28,3,2024,1
0,4,0,29,3,2024,1
0,5,1,30,3,2024,1
0,6,1,31,3,2024,0
1,0,0,1,4,2024,1
0,1,0,2,4,2024,1
0,2,0,3,4,2024,1
0,3,0,4,4,2024,1
0,4,0,5,4,2024,1
0,5,1,6,4,2024,1
0,6,1,7,4,2024,0
1,0,0,8,4,2024,1
0,1,0,9,4,2024,1
0,2,0,10,4,2024,1
0,3,0,11,4,2024,1
0,4,0,12,4,2024,1
0,5,1,13,4,2024,1
0,6,1,14,4,2024,1
0,7,0,15,4,2024,1
0,8,0,16,4,2024,1
0,9,0,17,4,2024,1
0,10,0,18,4,2024,1
0,11,0,19,4,2024,1
0,12,1,20,4,2024,1
0,13,1,21,4,2024,0
1,0,0,22,4,2024,1
0,1,0,23,4,2024,1
0,2,0,24,4,2024,1
0,3,0,25,4,2024,1
0,4,0,26,4,2024,1
0,5,1,27,4,2024,1
0,6,1,28,4,2024,0
1,0,0,29,4,2024,1
0,1,0,30,4,2024,1
0,2,0,1,5,2024,1
0,3,0,2,5,2024,1
0,4,0,3,5,2024,1
0,5,1,4,5,2024,1
0,6,1,5,5,2024,1
0,7,0,6,5,2024,1
0,8,0,7,5,2024,1
0,9,0,8,5,2024,1
0,10,0,9,5,2024,1
0,11,0,10,5,2024,1
0,12,1,11,5,2024,1
0,13,1,12,5,2024,0
1,0,0,13,5,2024,1
0,1,0,14,5,2024,0
1,0,0,15,5,2024,0
2,0,0,16,5,2024,1
0,1,0,17,5,2024,1
0,2,1,18,5,2024,1
0,3,1,19,5,2024,0
1,0,0,20,5,2024,1
0,1,0,21,5,2024,1
0,2,0,22,5,2024,1
0,3,0,23,5,2024,1
0,4,0,24,5,2024,1
0,5,1,25,5,2024,1
0,6,1,26,5,2024,1
0,7,0,27,5,2024,1
0,8,0,28,5,2024,1
0,9,0,29,5,2024,1
0,10,0,30,5,2024,1
0,11,0,31,5,2024,1
0,12,1,1,6,2024,1
0,13,1,2,6,2024,0
1,0,0,3,6,2024,1
0,1,0,4,6,2024,1
0,2,0,5,6,2024,1
0,3,0,6,6,2024,1
0,4,0,7,6,2024,1
0,5,1,8,6,2024,1
0,6,1,9,6,2024,0
1,0,0,10,6,2024,1
0,1,0,11,6,2024,1
